id;marque;type;moteur;puissance;place;autonomie;jhi_usage;heures;image
1;a systems;FTP;best-of-breed mesh;74123;99979;78425;de firewall;46331;navigating Serbie application
2;Paix Turkménistan;Metal Midi-Pyrénées invoice;optical b;1641;56722;96537;Metal deposit;42980;Unbranded brand
3;Coordinateur;niches;flexibility SCSI de;24386;9325;29028;c contingency demand-driven;25578;centrafricaine
4;Unbranded synergistic;Investment;Rhône-Alpes magnetic;54261;47136;89139;standardization holistic;67318;dynamic Birmanie
5;quantifying c;Gorgeous AI invoice;bottom-line Cotton bluetooth;62811;46937;80322;Poitou-Charentes online;92878;quantify
6;Borders haptic;functionalities;port Loire;42939;18641;84081;navigate Koruna redundant;16352;pixel port b
7;system-worthy Small;Home;Re-contextualized mint Cheese;95435;64201;53660;access a Table;54421;generating des asynchronous
8;array;User-centric;Plastic;6659;9986;59618;deliverables deposit Ruble;42162;cross-platform Awesome
9;de;compress HTTP Joubert;Coordinateur channels;80911;6556;73591;throughput;34556;Manat approach Pre-emptive
10;Franche-Comté syndicate b;conglomeration Automotive sky;bandwidth;6829;89030;81360;Rubber;39119;Dollar Centre azure
